"t","Ta","Ps","Ph","yTi","TimeDate"
29.6666666666667,3.482645,-0.00384675428571429,0.474,20.8438212935517,2009-02-06 20:06:00
29.75,3.45124172413793,-0.00367769344827586,0.04,20.7966809020979,2009-02-06 20:11:00
29.8333333333333,3.41942642857143,-0.0036959,0.042,20.6294568382747,2009-02-06 20:16:00
29.9166666666667,3.4123425,-0.00373361357142857,0.0386666666666667,20.4158103930333,2009-02-06 20:21:00
30,3.36112,-0.00377132714285714,0.0433333333333333,20.1731571557209,2009-02-06 20:26:00
30.0833333333333,3.30549344827586,-0.00371410655172414,0.0453333333333333,19.9346467862954,2009-02-06 20:31:00
30.1666666666667,3.25812357142857,-0.00362047285714286,0.042,19.7051312604573,2009-02-06 20:36:00
30.25,3.243955,-0.00362047285714286,0.0413333333333333,19.4901022429962,2009-02-06 20:41:00
30.3333333333333,3.22657137931034,-0.00356845413793103,0.0446666666666667,19.2910782953626,2009-02-06 20:46:00
30.4166666666667,3.16602678571429,-0.003431905,0.0473333333333333,19.1019930656918,2009-02-06 20:51:00
30.5,3.137145,-0.00373361357142857,0.0426666666666667,18.93540539167,2009-02-06 20:56:00
30.5833333333333,3.101175,-0.00331876428571429,0.038,18.7737402089213,2009-02-06 21:01:00
30.6666666666667,3.0513575862069,-0.00353204103448276,0.04,18.6296780524281,2009-02-06 21:06:00
30.75,2.974745,-0.00346961857142857,0.04,18.4903539216597,2009-02-06 21:11:00
30.8333333333333,2.951855,-0.00335647785714286,0.042,18.3613568041117,2009-02-06 21:16:00
30.9166666666667,2.96559275862069,-0.00349562793103448,0.0373333333333333,18.2440015761141,2009-02-06 21:21:00
31,2.98292,-0.00335647785714286,0.0426666666666667,18.1316789689239,2009-02-06 21:26:00
31.0833333333333,2.997635,-0.00339419142857143,0.0386666666666667,18.0273435144688,2009-02-06 21:31:00
31.1666666666667,3.004175,-0.00320562357142857,0.0393333333333333,17.922717431031,2009-02-06 21:36:00
31.25,2.98821965517241,-0.00353204103448276,0.0406666666666667,17.8243597006518,2009-02-06 21:41:00
31.3333333333333,2.96439,-0.00331876428571429,4.72733333333333,17.7283301041502,2009-02-06 21:46:00
31.4166666666667,2.94804,-0.00335647785714286,5.14666666666667,17.7069938767197,2009-02-06 21:51:00
